Date,Adj Close
1981-01-02,2.029067
1981-01-05,2.068853
1981-01-06,2.068853
1981-01-07,1.949495
1981-01-08,1.989281
1981-01-09,2.068853
1981-01-12,2.068853
1981-01-13,2.148422
1981-01-14,2.188209
1981-01-15,2.188209
1981-01-16,2.188209
1981-01-19,2.188209
1981-01-20,2.148422
1981-01-21,2.188209
1981-01-22,2.148422
1981-01-23,2.188209
1981-01-26,2.148422
1981-01-27,2.188209
1981-01-28,2.148422
1981-01-29,2.148422
1981-01-30,2.148422
1982-01-04,1.869925
1982-01-05,1.869925
1982-01-06,1.869925
1982-01-07,1.869925
1982-01-08,1.830139
1982-01-11,1.830139
1982-01-12,1.830139
1982-01-13,1.790353
1982-01-14,1.790353
1982-01-15,1.830139
1982-01-18,1.869925
1982-01-19,1.909710
1982-01-20,1.989281
1982-01-21,1.989281
1982-01-22,2.068853
1982-01-25,2.068853
1982-01-26,1.949495
1982-01-27,1.989281
1982-01-28,2.029067
1982-01-29,2.029067
1983-01-03,2.526387
1983-01-04,2.426924
1983-01-05,2.566173
1983-01-06,2.506495
1983-01-07,2.446816
1983-01-10,2.506495
1983-01-11,2.526387
1983-01-12,2.546280
1983-01-13,2.605959
1983-01-14,2.665637
1983-01-17,2.625851
1983-01-18,2.645745
1983-01-19,2.625851
1983-01-20,2.745209
1983-01-21,2.645745
1983-01-24,2.625851
1983-01-25,2.605959
1983-01-26,2.546280
1983-01-27,2.566173
1983-01-28,2.625851
1983-01-31,2.625851
1984-01-03,2.625851
1984-01-04,2.705423
1984-01-05,2.725314
1984-01-06,2.745209
1984-01-09,2.725314
1984-01-10,2.765102
1984-01-11,2.725314
1984-01-12,2.725314
1984-01-13,2.745209
1984-01-16,2.745209
1984-01-17,2.705423
1984-01-18,2.725314
1984-01-19,2.705423
1984-01-20,2.705423
1984-01-23,2.705423
1984-01-24,2.745209
1984-01-25,2.725314
1984-01-26,2.745209
1984-01-27,2.705423
1984-01-30,2.685530
1984-01-31,2.685530
1985-01-02,2.844672
1985-01-03,2.844672
1985-01-04,2.844672
1985-01-07,2.844672
1985-01-08,2.844672
1985-01-09,2.844672
1985-01-10,2.864565
1985-01-11,2.884457
1985-01-14,2.864565
1985-01-15,2.864565
1985-01-16,2.864565
1985-01-17,2.864565
1985-01-18,2.864565
1985-01-21,2.864565
1985-01-22,2.864565
1985-01-23,2.864565
1985-01-24,2.904351
1985-01-25,2.924242
1985-01-28,2.938119
1985-01-29,2.938119
1985-01-30,2.938119
1985-01-31,2.897310
1986-01-02,3.217003
1986-01-03,3.282656
1986-01-06,3.326425
1986-01-07,3.326425
1986-01-08,3.304539
1986-01-09,3.304539
1986-01-10,3.282656
1986-01-13,3.304539
1986-01-14,3.304539
1986-01-15,3.304539
1986-01-16,3.326425
1986-01-17,3.326425
1986-01-20,3.304539
1986-01-21,3.304539
1986-01-22,3.348308
1986-01-23,3.348308
1986-01-24,3.260771
1986-01-27,3.107580
1986-01-28,3.020043
1986-01-29,3.129466
1986-01-30,3.085695
1986-01-31,3.151350
1987-01-02,2.985959
1987-01-05,2.985959
1987-01-06,3.034122
1987-01-07,3.034122
1987-01-08,2.985959
1987-01-09,2.985959
1987-01-12,3.034122
1987-01-13,2.985959
1987-01-14,2.985959
1987-01-15,2.985959
1987-01-16,2.937800
1987-01-19,2.961880
1987-01-20,2.961880
1987-01-21,2.913718
1987-01-22,2.937800
1987-01-23,2.889640
1987-01-26,2.889640
1987-01-27,2.889640
1987-01-28,2.889640
1987-01-29,2.913718
1987-01-30,2.913718
1988-01-04,2.345524
1988-01-05,2.425484
1988-01-06,2.478792
1988-01-07,2.612061
1988-01-08,2.532098
1988-01-11,2.532098
1988-01-12,2.532098
1988-01-13,2.665367
1988-01-14,2.665367
1988-01-15,2.745328
1988-01-18,2.718675
1988-01-19,2.771983
1988-01-20,2.718675
1988-01-21,2.638715
1988-01-22,2.718675
1988-01-25,2.692021
1988-01-26,2.665367
1988-01-27,2.718675
1988-01-28,2.718675
1988-01-29,2.771983
1989-01-03,2.671293
1989-01-04,2.731320
1989-01-05,2.671293
1989-01-06,2.731320
1989-01-09,2.701308
1989-01-10,2.761336
1989-01-11,2.731320
1989-01-12,2.761336
1989-01-13,2.821365
1989-01-16,2.761336
1989-01-17,2.791352
1989-01-18,2.731320
1989-01-19,2.761336
1989-01-20,2.761336
1989-01-23,2.761336
1989-01-24,2.791352
1989-01-25,2.791352
1989-01-26,2.761336
1989-01-27,2.791352
1989-01-30,2.791352
1989-01-31,2.791352
1990-01-02,2.949434
1990-01-03,2.982950
1990-01-04,2.982950
1990-01-05,2.949434
1990-01-08,3.049981
1990-01-09,3.049981
1990-01-10,2.982950
1990-01-11,3.016468
1990-01-12,2.949434
1990-01-15,2.949434
1990-01-16,2.949434
1990-01-17,2.982950
1990-01-18,2.949434
1990-01-19,2.915917
1990-01-22,2.949434
1990-01-23,2.882401
1990-01-24,2.882401
1990-01-25,2.848885
1990-01-26,2.882401
1990-01-29,2.815369
1990-01-30,2.848885
1990-01-31,2.882401
1991-01-02,1.904409
